iter	Passed	Remaining
0	146	146322
1	148	74227
2	150	49971
3	151	37792
4	153	30494
5	155	25694
6	156	22178
7	157	19540
8	159	17602
9	161	16031
10	164	14749
11	166	13685
12	167	12730
13	169	11907
14	170	11187
15	172	10589
16	174	10089
17	176	9622
18	178	9199
19	180	8828
20	181	8467
21	182	8124
22	184	7822
23	187	7615
24	188	7370
25	190	7125
26	191	6910
27	193	6700
28	194	6504
29	195	6318
30	196	6146
31	197	5987
32	199	5851
33	201	5737
34	203	5603
35	204	5477
36	205	5353
37	206	5235
38	207	5122
39	209	5019
40	210	4917
41	211	4821
42	213	4745
43	214	4665
44	216	4590
45	218	4526
46	219	4444
47	220	4366
48	221	4291
49	222	4218
50	223	4151
51	224	4087
52	225	4027
53	227	3977
54	228	3927
55	229	3874
56	230	3818
57	231	3767
58	233	3716
59	234	3666
60	234	3616
61	235	3568
62	236	3522
63	238	3482
64	239	3439
65	240	3396
66	241	3368
67	243	3335
68	244	3300
69	246	3271
70	247	3240
71	248	3207
72	249	3173
73	251	3142
74	252	3109
75	254	3089
76	258	3095
77	260	3073
78	261	3043
79	261	3012
80	263	2987
81	264	2958
82	264	2926
83	265	2898
84	266	2872
85	267	2846
86	268	2822
87	270	2805
88	272	2785
89	273	2768
90	275	2747
91	276	2724
92	277	2703
93	278	2681
94	279	2659
95	280	2637
96	281	2617
97	282	2598
98	283	2580
99	286	2576
100	287	2560
101	289	2549
102	291	2534
103	292	2516
104	293	2498
105	294	2482
106	295	2465
107	296	2451
108	298	2440
109	300	2430
110	301	2416
111	303	2402
112	304	2387
113	305	2371
114	306	2356
115	307	2342
116	308	2326
117	309	2311
118	310	2297
119	311	2287
120	314	2285
121	316	2279
122	318	2270
123	319	2258
124	320	2245
125	322	2235
126	323	2224
127	324	2212
128	325	2199
129	326	2187
130	329	2183
131	331	2177
132	332	2167
133	333	2158
134	335	2149
135	337	2141
136	339	2138
137	343	2144
138	349	2165
139	351	2159
140	353	2151
141	353	2138
142	355	2128
143	356	2119
144	360	2123
145	364	2129
146	365	2121
147	367	2115
148	372	2127
149	376	2131
150	380	2137
151	382	2133
152	384	2129
153	398	2186
154	400	2183
155	405	2195
156	408	2191
157	409	2184
158	411	2174
159	412	2165
160	413	2155
161	416	2153
162	418	2149
163	420	2142
164	422	2135
165	423	2126
166	424	2116
167	425	2107
168	426	2099
169	429	2096
170	431	2093
171	434	2090
172	437	2089
173	439	2084
174	440	2076
175	441	2067
176	442	2059
177	444	2051
178	446	2048
179	448	2044
180	450	2037
181	453	2037
